NAME;ADDRESS;TYPE;LOCATION;SUMMER_HOURS;WINTER_HOURS;WHEEL_ACCESS;MAINTAINER;NOTE;Geom;Geo Local Area;PRIMARYIND
Stanley Park;2000 W Georgia Street;Public Toilet in Park;Fish House;Dawn to Dusk;Dawn to Dusk;Yes, key available at Pitch and Putt ticket booth;Parks & Recreation;Key to accessible washroom on west side of Fish House available at Pitch and Putt Golf Course ticket booth;"{""type"": ""Point"", ""coordinates"": [-123.146580040925, 49.2922930215573]}";;74
Stanley Park;2000 W Georgia Street;Public Toilet in Park;Info Booth;Dawn to Dusk;Dawn to Dusk;Yes;Parks & Recreation;Wheelchair accessible;"{""type"": ""Point"", ""coordinates"": [-123.131432966091, 49.2977530146591]}";;75
Stanley Park;2000 W Georgia Street;Public Toilet in Park;Pavilion;Dawn to Dusk;Dawn to Dusk;Yes, entered from parking lot level;Parks & Recreation;Accessible washroom entered from parking lot level, to the left side of the building.;"{""type"": ""Point"", ""coordinates"": [-123.134051016088, 49.2995490315169]}";;77
Stanley Park;2000 W Georgia Street;Public Toilet in Park;Pitch & Putt Golf Course;Dawn to Dusk;Dawn to Dusk;No;Parks & Recreation;Not accessible, key to accessible washroom on west side of Fish House available at ticket booth;"{""type"": ""Point"", ""coordinates"": [-123.146599024764, 49.2930350373012]}";;78
Stanley Park;2000 W Georgia Street;Public Toilet in Park;Prospect Point Picnic, fieldhouse;Dawn to Dusk;Dawn to Dusk;Yes;Parks & Recreation;Wheelchair accessible, Caretaker on site;"{""type"": ""Point"", ""coordinates"": [-123.148388039898, 49.3105500283612]}";;80
Sunset Beach Park;1204 Beach Avenue;Public Toilet in Park;Concession;Dawn to Dusk;7:00 am - Dusk;No;Parks & Recreation;Caretaker on site;"{""type"": ""Point"", ""coordinates"": [-123.137950043494, 49.2788370147886]}";West End;84
Trillium Park;600 National Avenue;Public Toilet in Park;;Dawn to 10:15 pm;Dawn to 10:15 pm;No;Parks & Recreation;;"{""type"": ""Point"", ""coordinates"": [-123.092911042306, 49.2748]}";Strathcona;87
VanDusen Botanical Garden;5251 Oak Street;Public Toilet in Park;Floral hall;Hours of operation only;Hours of operation only;No;Parks & Recreation;;"{""type"": ""Point"", ""coordinates"": [-123.128638340165, 49.2385104498556]}";Shaughnessy;88
Main at Hastings;SW corner of intersection;Comfort Station;SW corner of intersection;Men: 6am - Women: 8am to Midnight;Men: 6am - Women: 8am to Midnight;No;City of Vancouver;N/A;"{""type"": ""Point"", ""coordinates"": [-123.09985, 49.281107]}";Downtown;94
Hastings at Carral - Pigeon Park;NW corner of intersection;Automated Public Toilet;NW corner of intersection;24 hrs;24 hrs;No;City of Vancouver;Please call 311 for maintenance requests;"{""type"": ""Point"", ""coordinates"": [-123.104602, 49.2816384]}";Downtown;98
Main at Terminal;NE corner of intersection;Automated Public Toilet;NE corner of intersection;6am to 10pm;6am to 10pm;Yes;City of Vancouver;Please call 311 for maintenance requests;"{""type"": ""Point"", ""coordinates"": [-123.099778, 49.2731387]}";Strathcona;99
Nelson at Howe;NE corner of intersection;Automated Public Toilet;NE corner of intersection;24 hrs;24 hrs;No;City of Vancouver;Please call 311 for maintenance requests;"{""type"": ""Point"", ""coordinates"": [-123.123516, 49.2796964]}";Downtown;101
Richards at Davie - Emery Barnes Park;NW corner of intersection;Automated Public Toilet;NW corner of intersection;24 hrs;24 hrs;No;City of Vancouver;Please call 311 for maintenance requests;"{""type"": ""Point"", ""coordinates"": [-123.124114, 49.2760544]}";Downtown;103
Robson at Granville;NW corner of intersection;Automated Public Toilet;NW corner of intersection;6am to 10pm;6am to 10pm;Yes;City of Vancouver;Please call 311 for maintenance requests;"{""type"": ""Point"", ""coordinates"": [-123.120082, 49.2816325]}";Downtown;104
Robson at Richards;NW corner of intersection;Automated Public Toilet;NW corner of intersection;24 hrs;24 hrs;No;City of Vancouver;Please call 311 for maintenance requests;"{""type"": ""Point"", ""coordinates"": [-123.118054, 49.2803243]}";Downtown;105
Vancouver Art Gallary;NE Side of VAG Building;Automated Public Toilet;NE Side of VAG Building;6am to 10pm;6am to 10pm;Yes;City of Vancouver;Please call 311 for maintenance requests;"{""type"": ""Point"", ""coordinates"": [-123.119864, 49.282961]}";Downtown;106
